ZIP,Year,Annual Change (%),HPI
1001,2021,11.2,331.21
1002,2021,7.37,455.47
1005,2021,19.86,247.43
1007,2021,9.59,349
1008,2021,10.81,158.84
1010,2021,12.76,219.1
1013,2021,13.36,329.56
1020,2021,15.04,439.13
1027,2021,7.45,548.38
1028,2021,10.3,424.02
1030,2021,9.7,335.79
1032,2021,21.24,151.68
1033,2021,14.54,392.35
1034,2021,14.88,201.58
1035,2021,9.18,367.03
1036,2021,15.56,322.06
1038,2021,11.44,295.65
1039,2021,14.68,135.14
1040,2021,12.87,323.37
1050,2021,13.12,164.77
1053,2021,12.94,253.84
1054,2021,11.41,331.12
1056,2021,9.81,357.31
1057,2021,16.1,300.76
1060,2021,11.73,448.42
1062,2021,8.3,492.03
1068,2021,15.34,252.54
1069,2021,14.39,302.16
1071,2021,12.91,229.27
1072,2021,9.7,144.19
1073,2021,8.2,316.71
1075,2021,9.56,335.13
1077,2021,13.37,417.46
1081,2021,12.89,182.83
1082,2021,13.25,275.4
1083,2021,17.85,224.76
1085,2021,10.48,619.7
1089,2021,10.87,703.52
1092,2021,13.41,167.37
1095,2021,11.62,326.13
1096,2021,4.1,151.76
1098,2021,14.77,164.7
1104,2021,18.39,387.83
1106,2021,9.19,894.83
1107,2021,24.15,265.18
1108,2021,21.26,399.71
1109,2021,19.37,435.65
1118,2021,14.04,448.24
1119,2021,11.84,459.29
1128,2021,17.78,313.49
1129,2021,15.04,448.24
1151,2021,29.02,351.43
1201,2021,12.21,494.27
1220,2021,17.85,205.8
1222,2021,5.81,141.81
1223,2021,13.76,188.22
1225,2021,6.76,227.96
1226,2021,11.28,275.3
1230,2021,21.72,444.84
1235,2021,7.13,216.46
1236,2021,13.07,174.1
1237,2021,10.13,237.07
1238,2021,13.7,225.81
1240,2021,15.01,345.96
1245,2021,19.22,192.84
1247,2021,15.66,213.44
1253,2021,8.34,173.3
1254,2021,9.88,240.35
1255,2021,26.82,155.69
1257,2021,11.11,249.71
1262,2021,13,219.71
1266,2021,18.29,185.27
1267,2021,9.32,232.33
1270,2021,7.6,159.22
1301,2021,14.38,303.86
1330,2021,24.76,172.08
1331,2021,18.72,285.96
1337,2021,13.09,241.5
1339,2021,19.21,167.95
1340,2021,0.35,165.3
1341,2021,7.23,154.64
1342,2021,10.08,163.11
1344,2021,15.96,197.15
1351,2021,8.68,235.54
1354,2021,2.06,157.44
1360,2021,15.08,211.66
1364,2021,20.94,288.19
1366,2021,17.43,153.58
1368,2021,22.11,149.56
1370,2021,16.62,197.08
1373,2021,5.67,231.07
1375,2021,15.23,389.83
1376,2021,11.27,238.2
1420,2021,16.06,357.83
1430,2021,14.42,288.2
1431,2021,11.06,228.95
1432,2021,13.05,299.58
1436,2021,10.54,159.59
1440,2021,16.14,346.21
1450,2021,11.07,326.26
1451,2021,12.1,259.37
1452,2021,12.77,234.34
1453,2021,15.18,995.73
1460,2021,9.21,435.03
1462,2021,12.86,348.59
1463,2021,13.21,385.64
1464,2021,12.49,248.77
1468,2021,16.95,248.21
1469,2021,14.06,469.25
1473,2021,11.34,351.41
1474,2021,13.26,252.43
1475,2021,14.3,280.35
1501,2021,13.8,350.16
1503,2021,10.58,284.13
1504,2021,11.52,364.08
1505,2021,8.78,273.64
1506,2021,14.58,240.5
1507,2021,13.63,231.48
1510,2021,13.31,301.61
1515,2021,14.27,259.65
1516,2021,12.14,233.12
1518,2021,12.72,290.68
1519,2021,11.75,304.56
1520,2021,12.42,493.21
1521,2021,7.16,216.41
1522,2021,8.43,282.43
1523,2021,11.91,271.48
1524,2021,12.61,377.3
1527,2021,13.86,355.53
1529,2021,10.43,297.7
1531,2021,25.82,187.23
1532,2021,11.41,503.15
1534,2021,9.77,252.64
1535,2021,15.59,287.43
1536,2021,12.02,272.15
1537,2021,13.44,183.51
1540,2021,14.47,367.36
1541,2021,11.57,256.75
1542,2021,18.13,303.68
1543,2021,14.59,273.19
1545,2021,10.39,748.53
1550,2021,17.11,248.54
1560,2021,14.81,240.54
1562,2021,17.19,291.44
1564,2021,9.86,315.81
1566,2021,13.23,265.93
1568,2021,11.71,337.3
1569,2021,11.91,240.42
1570,2021,13.02,283.88
1571,2021,13.39,284.82
1581,2021,11.02,534.89
1583,2021,12.15,315.94
1585,2021,14.99,242.68
1588,2021,13.53,265.8
1590,2021,11.4,323.24
1602,2021,13.21,674.69
1603,2021,14.1,431.32
1604,2021,15.06,364.46
1605,2021,13.77,340.89
1606,2021,14.27,430.84
1607,2021,13.95,298.22
1609,2021,15.49,276
1610,2021,5.13,251.61
1611,2021,19.23,295.86
1612,2021,12.86,233.46
1701,2021,10.6,1121.74
1702,2021,11.1,531.93
1719,2021,10.77,277.92
1720,2021,9.93,732.31
1721,2021,10.9,549.97
1730,2021,6.44,905.89
1740,2021,11.47,271.2
1741,2021,5.08,306.57
1742,2021,5.99,910.65
1745,2021,6.33,175.73
1746,2021,10.91,746.62
1747,2021,11.9,345.27
1748,2021,9.74,546.05
1749,2021,10.42,535.69
1752,2021,11.76,504.22
1754,2021,10.18,570.08
1756,2021,9.67,307.63
1757,2021,13.03,637.81
1760,2021,8.72,1385.56
1770,2021,9.83,326.71
1772,2021,8.38,522.12
1773,2021,1.13,299.11
1775,2021,10.2,478.42
1776,2021,7.51,564.14
1778,2021,8.19,608.46
1801,2021,8.42,951.45
1803,2021,7.46,934.87
1810,2021,9.16,1198.64
1821,2021,10.16,1198.59
1824,2021,11.43,984.54
1826,2021,11.13,552.19
1827,2021,11.46,277.56
1830,2021,13.37,560.95
1832,2021,15.7,380.34
1833,2021,11.41,556.05
1834,2021,13.47,404.24
1835,2021,12.55,344.8
1841,2021,12.65,432.48
1843,2021,15.55,368.76
1844,2021,12.89,939.74
1845,2021,11.87,458.38
1850,2021,16.25,363.34
1851,2021,14.72,473.22
1852,2021,14.29,503.45
1854,2021,12.04,362.7
1860,2021,12.19,404.76
1862,2021,9.2,407.59
1863,2021,9.65,379.62
1864,2021,8.72,625.91
1867,2021,7.68,966.29
1876,2021,11.28,999.9
1879,2021,11.91,441.77
1880,2021,9.58,636.26
1886,2021,9.69,554.01
1887,2021,9.34,859.66
1890,2021,2.57,721.34
1902,2021,13.43,738.4
1904,2021,12.13,613.86
1905,2021,14.45,701.78
1906,2021,9.76,1069.9
1907,2021,9.52,805.4
1908,2021,9.67,352.64
1913,2021,12.73,396.46
1915,2021,10,915.32
1921,2021,10,325.3
1922,2021,8.91,286.62
1923,2021,10.14,829.05
1929,2021,9.25,369.82
1930,2021,10.86,607.86
1938,2021,10.75,405.37
1940,2021,9.08,548.11
1944,2021,9.7,354.24
1945,2021,8.79,898.28
1949,2021,8.4,403.08
1950,2021,10.97,663.55
1951,2021,6.02,364.84
1952,2021,12.52,444.39
1960,2021,10.83,912.18
1966,2021,9.22,336.88
1969,2021,10.15,405.35
1970,2021,11.28,896.77
1982,2021,9.88,376.98
1983,2021,11.73,352.23
1984,2021,8.59,313.03
1985,2021,10.52,318.29
2019,2021,9.74,806.7
2021,2021,7.72,569.8
2025,2021,8.38,470.39
2026,2021,8.97,897.03
2030,2021,6.77,381.85
2032,2021,11.45,332.64
2035,2021,10.21,403.59
2038,2021,10.4,574.04
2043,2021,9.22,742.76
2045,2021,12.45,482.82
2048,2021,11.01,585.41
2050,2021,11.78,922.8
2052,2021,8.23,737.33
2053,2021,9.98,522.78
2054,2021,9.76,468.85
2056,2021,9.69,505.77
2061,2021,11.88,525.2
2062,2021,10.08,909.57
2066,2021,10.57,1077.42
2067,2021,9.75,801.09
2071,2021,4.93,287.72
2072,2021,12.12,588.38
2081,2021,8.23,551.7
2090,2021,7.62,686.81
2093,2021,10.53,465.2
2119,2021,1.11,599.1
2120,2021,2.76,305.66
2121,2021,2.14,491.8
2122,2021,9.02,703.5
2124,2021,5.71,1012.45
2125,2021,5.42,570.2
2126,2021,11.52,483.29
2127,2021,2.49,622.98
2128,2021,8.34,573.27
2129,2021,-0.32,554.27
2130,2021,5.23,669.45
2131,2021,6.03,948.34
2132,2021,6.45,1249.56
2134,2021,4.46,479.28
2135,2021,0.52,528.19
2136,2021,9.2,853.06
2138,2021,2.65,542.44
2139,2021,3.1,641.71
2140,2021,-3.49,628.95
2141,2021,6.68,729.09
2143,2021,2.15,714.83
2144,2021,-4.09,609.57
2145,2021,6.93,579.73
2148,2021,7.7,733.03
2149,2021,11.4,481.19
2150,2021,6.11,453.4
2151,2021,9.91,687.82
2152,2021,10.38,419.59
2155,2021,8.16,855.13
2169,2021,9.32,1175.82
2170,2021,9.44,1175.96
2171,2021,8.72,834.8
2176,2021,7.55,785.34
2180,2021,8.32,981.48
2184,2021,8.08,968.95
2186,2021,7.17,1181.98
2188,2021,11.79,618.15
2189,2021,10.96,589.41
2190,2021,11.12,590.99
2191,2021,11.81,442.67
2301,2021,14.17,907.47
2302,2021,16.6,955.09
2322,2021,12.36,320.41
2324,2021,11.88,352.09
2330,2021,10.95,396.33
2332,2021,11.17,906.23
2333,2021,12.68,556.41
2338,2021,12.74,419.15
2339,2021,10.85,817.14
2341,2021,12.65,492.66
2343,2021,11.47,483.01
2346,2021,11.93,407.26
2347,2021,11.61,369.63
2351,2021,13.51,521.32
2356,2021,10.11,367.38
2359,2021,13.04,878.2
2360,2021,12.79,853.19
2364,2021,13.38,398.75
2367,2021,12.64,326.74
2368,2021,12.89,928.93
2370,2021,12.99,613.03
2375,2021,12.41,342.42
2379,2021,13.8,325.64
2382,2021,11.95,587.68
2420,2021,0.48,670.83
2421,2021,3.93,973.5
2445,2021,1,447.43
2446,2021,-0.62,399.12
2451,2021,6.96,685.55
2452,2021,4.58,454.01
2453,2021,6.37,725.25
2458,2021,7.71,483.52
2459,2021,3.9,1018.41
2460,2021,4.36,506.45
2461,2021,-1.49,871.44
2462,2021,0.77,462.58
2464,2021,4.79,429.25
2465,2021,2.18,771.77
2466,2021,3.25,430.09
2467,2021,0.94,418.14
2468,2021,0.78,746.46
2472,2021,5.93,693.55
2474,2021,3.29,812.69
2476,2021,5.15,776.74
2478,2021,6.55,723.48
2481,2021,6.8,955.19
2482,2021,1.02,770.66
2492,2021,7.23,1116.02
2493,2021,3.54,343.69
2494,2021,5.11,788.64
2532,2021,14.96,450.58
2534,2021,12.26,339.23
2535,2021,28.51,150.51
2536,2021,14.32,540.8
2537,2021,15.67,320.78
2538,2021,17.52,381.87
2539,2021,7.95,602.25
2540,2021,11.95,507.19
2543,2021,27.42,384.31
2554,2021,3.96,573.49
2556,2021,12.62,359.96
2557,2021,10.97,461.19
2558,2021,19.83,385.52
2559,2021,13.57,370.44
2561,2021,12.41,195.47
2562,2021,11.81,317.17
2563,2021,14.44,497.76
2568,2021,16.96,524.36
2571,2021,13.79,444.18
2575,2021,5.42,339.3
2576,2021,12.27,259.37
2601,2021,17.38,456.29
2630,2021,16.96,326.19
2631,2021,11.66,445.25
2632,2021,14.89,553.76
2633,2021,13.38,444.87
2635,2021,10.72,332.65
2638,2021,14.19,417.04
2639,2021,13.37,451.07
2642,2021,9.88,390.79
2644,2021,20.66,356.06
2645,2021,15.11,447.89
2646,2021,10.55,446.13
2648,2021,14.84,443.12
2649,2021,14.63,434.48
2650,2021,19.81,389.59
2653,2021,9.43,394.18
2655,2021,15.56,455.37
2657,2021,6,570.34
2659,2021,15.52,431.01
2660,2021,13.7,438.02
2664,2021,17.58,621.98
2666,2021,11.75,375.13
2667,2021,10.14,329.41
2668,2021,13.65,298.99
2670,2021,12.23,371.56
2671,2021,15.3,376.05
2673,2021,15.71,547.36
2675,2021,16.37,433.05
2702,2021,9.64,344.15
2703,2021,13.66,977.85
2715,2021,12.01,359.8
2717,2021,13.22,339.34
2718,2021,13.83,338.84
2719,2021,12.58,411.42
2720,2021,12.84,349.33
2721,2021,17.29,381.98
2723,2021,10.98,357.2
2724,2021,14.92,400.84
2725,2021,8.66,379.77
2726,2021,12.56,423.22
2738,2021,10.09,314.95
2739,2021,10.74,335.06
2740,2021,16.81,426.11
2743,2021,13.03,349.72
2744,2021,8.39,285.05
