ZIP,rooms-rooms-median_rooms_total_housing_units
601,4.9
602,4.8
603,4.9
606,4.1
610,4.8
612,5
616,4.8
617,4.9
622,3.7
623,4.4
624,5
627,5
631,4.7
637,4.9
638,4.8
641,4.9
646,4.5
647,4.9
650,4.9
652,4.9
653,4.9
656,5
659,4.9
660,4.9
662,4.9
664,5
667,4.3
669,4.9
670,4.2
674,4.1
676,4.8
677,4.6
678,5
680,4.4
682,4.7
683,4.3
685,4.9
687,5
688,4.7
690,4.9
692,4.9
693,4.9
694,4.5
698,4.9
703,5
704,4.6
705,4.7
707,4.5
714,4.6
715,4.9
716,5
717,4.7
718,4.1
719,5
720,5
723,4.3
725,4.8
727,5.1
728,5
729,4.4
730,4.8
731,4.9
735,4.1
736,4.6
738,4.6
739,4.7
740,4.1
741,4.5
745,4.5
751,4.6
754,4.9
757,4.7
765,4
766,4.8
767,4.4
769,4.8
771,4.9
772,4.2
773,4.3
775,3.2
777,4.5
778,5.2
780,5.1
782,4.3
783,4.7
784,4.7
786,4.7
791,4.2
794,4.5
795,5
901,3.8
906,1.4
907,4.1
909,4.3
911,4.1
912,4.2
913,4.3
915,4.2
917,4.4
918,4.6
920,4.9
921,4.7
923,4.5
924,4.9
925,3.3
926,5
927,4.9
934,5
936,13
949,4.8
950,0
951,17
952,4.5
953,4.9
956,5.2
957,5.2
959,5
960,0
961,5.1
962,4.7
965,4.6
966,5.2
968,4.7
969,5.3
971,4.7
976,4.7
979,4
982,5.1
983,5.1
985,5
987,5
1001,5.3
1002,5.3
1003,1.4
1005,5.9
1007,5.9
1008,6.2
1009,5.3
1010,6
1011,6
1012,5.4
1013,4.9
1020,5.1
1022,4.3
1026,6.2
1027,5.3
1028,6.3
1029,5.1
1030,5.9
1031,5.2
1032,5.2
1033,5.8
1034,6
1035,6.5
1036,6.5
1037,5.9
1038,5.9
1039,5.5
1040,4.9
1050,5.9
1053,6.2
1054,6.8
1056,5.6
1057,5.9
1060,4.7
1062,5.7
1063,0
1066,12
1068,6.6
1069,5.7
1070,5.7
1071,6.1
1072,5.9
1073,6.4
1074,78
1075,5.6
1077,6.1
1079,6
1080,5.3
1081,5.2
1082,5.4
1083,5.1
1084,7.2
1085,5.5
1086,0
1088,4.9
1089,5.2
1092,5.5
1093,7.1
1094,3.5
1095,6.9
1096,5.9
1097,25
1098,5.9
1103,3.1
1104,5.1
1105,4.1
1106,7.3
1107,5
1108,5.5
1109,5.5
1118,5.9
1119,5.3
1128,5.5
1129,5.4
1151,4.9
1199,0
1201,5.6
1220,5.5
1222,5.6
1223,5.4
1224,4.8
1225,5.5
1226,6.3
1229,5.8
1230,6
1235,5.7
1236,6.7
1237,5.9
1238,6
1240,5.6
1242,5.8
1243,5.5
1244,5.8
1245,6.1
1247,5.3
1253,5.9
1254,7.3
1255,5.9
1256,5.5
1257,5.7
1258,6.3
1259,6.4
1260,5.7
1262,5.6
1264,6.9
1266,6.4
1267,6.1
1270,5.8
1301,5.3
1330,6.1
1331,5.6
1337,6.2
1338,6.1
1339,5.9
1340,5.5
1341,6.8
1342,6.8
1343,5.9
1344,6
1346,5.1
1347,5.3
1349,5.8
1350,5.7
1351,5.8
1354,6.2
1355,6.3
1360,5.7
1364,5.2
1366,6.7
1367,5.9
1368,5.9
1370,5.8
1373,6.1
1375,4.8
1376,5.2
1378,5.3
1379,5.3
1420,5
1430,5.9
1431,6.3
1432,5.2
1434,5.1
1436,5.6
1438,6.7
1440,5
1450,7.3
1451,8
1452,6.2
1453,5.2
1460,6.6
1462,6.3
1463,6.6
1464,5.9
1467,7.9
1468,5.4
1469,6.4
1473,6.5
1474,6.5
1475,5.7
1501,5.9
1503,6.8
1504,5.7
1505,7
1506,5.7
1507,6
1510,5.1
1515,6
1516,6.2
1518,6.1
1519,7.4
1520,7
1521,5.3
1522,6.8
1523,6.3
1524,5.7
1525,5.6
1527,5.6
1529,6.5
1531,6.4
1532,6.9
1534,6.3
1535,5.8
1536,6.2
1537,5.2
1540,5.9
1541,7.5
1542,6.2
1543,6.4
1545,6.2
1550,5.1
1560,5.9
1561,6.2
1562,5.5
1564,6.9
1566,6.2
1568,7
1569,6.1
1570,5.4
1571,5.6
1581,6
1583,6.3
1585,5.6
1588,5.7
1590,6.7
1602,5.6
1603,5.2
1604,5.1
1605,4.7
1606,5.7
1607,4.7
1608,3.2
1609,4.7
1610,4.8
1611,5.5
1612,7.1
1701,6.8
1702,4.3
1718,5.8
1719,6.3
1720,7.1
1721,6.3
1730,6.5
1731,6.6
1740,8.2
1741,8.5
1742,7.3
1745,6.3
1746,7.3
1747,6.4
1748,7.7
1749,5.9
1752,5.4
1754,6.1
1756,7.2
1757,5.8
1760,6.3
1770,8.4
1772,8
1773,7.3
1775,7.5
1776,8.3
1778,7.3
1801,5.5
1803,6.3
1810,7.4
1821,6.4
1824,6.8
1826,5.9
1827,7.8
1830,5.4
1832,5.3
1833,6.6
1834,6.4
1835,5.6
1840,3.5
1841,4.9
1843,5
1844,5.9
1845,6.5
1850,5.2
1851,4.9
1852,4.8
1854,4.6
1860,6.6
1862,6.3
1863,5.7
1864,6.9
1867,6.8
1876,6.2
1879,6.2
1880,6.3
1886,7.3
1887,6.6
1890,7.3
1901,3
1902,4.6
1904,5.9
1905,5.1
1906,6.1
1907,6.4
1908,5.8
1913,5.5
1915,5.5
1921,2718
1922,6.7
1923,5.9
1929,6.3
1930,5.4
1937,0
1938,6
1940,7.2
1944,6.6
1945,6.8
1949,6.5
1950,5.9
1951,6.3
1952,5.4
1960,5.4
1966,5.6
1969,6.5
1970,4.8
1982,6.9
1983,7.7
1984,7.3
1985,7.3
2019,6.1
2021,6.6
2025,7.5
2026,5.9
2030,2059
2032,7.1
2035,6
2038,6.9
2043,7.2
2045,5.8
2047,33
2048,6.3
2050,6.2
2052,7.8
2053,7.3
2054,6.5
2056,7.7
2061,7.7
2062,5.5
2066,7.1
2067,7.2
2071,8
2072,6.1
2081,6.9
2090,7.4
2093,7
2108,3.4
2109,3.3
2110,3.6
2111,2.9
2113,3.3
2114,3
2115,3.1
2116,3.4
2118,3.5
2119,4.4
2120,4.3
2121,4.8
2122,5.1
2124,5.1
2125,4.9
2126,5.2
2127,4.1
2128,4.3
2129,4.1
2130,4.8
2131,5.2
2132,5.9
2134,3.7
2135,4.2
2136,5.2
2138,4.2
2139,4.2
2140,4.2
2141,3.9
2142,3.3
2143,4.6
2144,5
2145,4.7
2148,4.6
2149,4.9
2150,4.3
2151,4.5
2152,5.3
2155,5.4
2163,3.2
2169,4.4
2170,5.3
2171,4.7
2176,5.9
2180,5.8
2184,6
2186,7.1
2188,5.3
2189,5.4
2190,5.8
2191,5.9
2199,3.2
2203,0
2210,2.6
2215,2.9
2301,5.5
2302,5.8
2322,6
2324,6.2
2330,5.7
2332,7.6
2333,6.3
2338,5.8
2339,7.5
2341,6.6
2343,6
2346,6
2347,6.3
2351,5.6
2356,6.9
2357,13
2359,6.3
2360,5.8
2364,6
2366,0
2367,7
2368,5.8
2370,5.5
2375,6
2379,6.1
2382,5.9
2420,7.4
2421,6.9
2445,5.1
2446,4.3
2451,5.5
2452,5
2453,4.5
2457,4.3
2458,6
2459,7.6
2460,6.6
2461,7.3
2462,6.6
2464,5.5
2465,6.9
2466,5.5
2467,5.8
2468,8.4
2472,5.4
2474,5.7
2476,5.7
2478,6.4
2481,5011
2482,7.3
2492,7.8
2493,4011
2494,6.7
2532,5.4
2534,6.8
2535,5.5
2536,5.9
2537,6.4
2538,5
2539,5.5
2540,5.8
2542,4.9
2543,6.9
2553,6.3
2554,5.9
2556,6.8
2557,5.2
2558,4.2
2559,5.8
2561,6.7
2562,5.9
2563,6.2
2564,6.7
2568,5.5
2571,5.1
2575,5.8
2576,5.4
2584,10
2601,4.9
2630,6.6
2631,5.5
2632,6.2
2633,6.1
2635,6.4
2637,7.4
2638,6.1
2639,4.7
2641,6.6
2642,5.5
2643,6.3
2644,6
2645,5.9
2646,6.3
2647,8.5
2648,6.1
2649,5.6
2650,6.2
2651,38
2652,4.9
2653,5.9
2655,6.4
2657,3.9
2659,5.7
2660,5.3
2663,5.5
2664,5.1
2666,5.9
2667,5.3
2668,6.6
2669,5.9
2670,5.2
2671,5.3
2672,7.6
2673,5.1
2675,5.7
2702,6.6
2703,5.5
2713,5.3
2715,6.3
2717,6.4
2718,6.1
2719,5.5
2720,5.1
2721,4.9
2723,4.9
2724,4.9
2725,6
2726,6.1
2738,6.8
2739,6
2740,5.1
2743,5.8
2744,5.2
2745,5.4
2746,4.9
2747,5.8
2748,6.1
2760,5.8
2762,5.4
2763,6.7
2764,6.3
2766,6.3
2767,6.2
2769,6.5
2770,7
2771,6.5
2777,6
2779,6.1
2780,5.2
2790,6.2
2791,5.9
2802,4.2
2804,5.7
2806,7.1
2807,5.8
2808,5.2
2809,5.6
2812,7.6
2813,5.5
2814,5.8
2815,7
2816,5.6
2817,6.3
2818,6.3
2822,5.9
2825,6.1
2826,4.7
2827,6.7
2828,6.2
2830,5.7
2831,6.9
2832,5.7
2833,5.6
2835,6.5
2836,5.2
2837,6.6
2838,5.1
2839,5.9
2840,5.1
2841,0
2842,5.6
2852,5.9
2857,6.4
2858,5.4
2859,5.5
2860,4.6
2861,5.3
2863,4.6
2864,5.8
2865,5.9
2871,6.1
2872,4.9
2873,5.8
2874,7.2
2875,5
2876,3.4
2878,5.7
2879,5.6
2881,5.4
2882,5.4
2885,5.2
2886,5.4
2888,5.5
2889,5.5
2891,5.8
2892,6.3
2893,4.9
2894,6.3
2895,4.7
2896,6
2898,5.5
2903,3.3
2904,4.5
2905,5.3
2906,5.3
2907,4.9
2908,5
2909,4.7
2910,5.6
2911,4.9
2912,0
2914,5
2915,5
2916,5.7
2917,5.7
2919,5.4
2920,5.3
2921,6.6
3031,7.4
3032,6.9
3033,7.5
3034,6.7
3036,7.3
3037,6.2
3038,5.3
3042,5.6
3043,6.5
3044,6.3
3045,6.1
3046,6.5
3047,5.7
3048,5.8
3049,8
3051,6.1
3052,6.8
3053,6.5
3054,6.2
3055,5.4
3057,7.3
3060,4.6
3062,5.7
3063,5.3
3064,5.6
3070,7.1
3071,6.4
3076,6.9
3077,5.6
3079,6
3082,6.3
3084,6.8
3086,5.9
3087,7.6
3101,3.2
3102,4.6
3103,5
3104,5
3106,5.8
3109,5.7
3110,7.6
3215,5.3
3216,6.1
3217,4.6
3218,6.3
3220,5.2
3221,5.9
3222,5.4
3223,5.8
3224,6.4
3225,5.3
3226,6
3227,6.1
3229,6.8
3230,5.6
3231,7
3233,8.4
3234,5.7
3235,5.4
3237,4.9
3238,6
3240,5.1
3241,5.8
3242,5.4
3243,5.8
3244,5.6
3245,5.8
3246,5.2
3249,5.6
3251,5
3253,5.8
3254,5.5
3255,6.1
3256,5.7
3257,6.4
3258,6.4
3259,6.1
3260,6.5
3261,5.7
3262,4.9
3263,4.8
3264,5
3266,5.5
3268,5.9
3269,5.6
3273,5.8
3275,5.7
3276,5.4
3278,5.7
3279,5.1
3280,5.3
3281,6.1
3282,5.4
3284,5.4
3285,5.2
3287,5.8
3290,6.5
3291,18
3293,5.1
3301,5
3303,5.2
3304,7.3
3307,5.7
3431,5.2
3440,5.9
3441,6.3
3442,5.4
3443,7.1
3444,6.4
3445,5.8
3446,5.7
3447,5.3
3448,5.6
3449,7
3450,5.5
3451,5.3
3452,5.3
3455,5.7
3456,5.4
3457,6
3458,5.4
3461,5.9
3462,5.8
3464,5.1
3465,5.2
3466,6.4
3467,6.6
3470,5.4
3561,5.1
3570,5.2
3574,5.2
3575,5.8
3576,5.4
3579,4
3580,6.1
3581,5.2
