Zip_Code,Average Income,Total households
00601,22496.33333,2383.516042
00602,15078.4,1273.986809
00603,26046.8,2458.260849
00605,27497.5,772.636231
00606,19194,558.2999222
00610,26944.33333,2021.850446
00612,26967,2400.043584
00614,19302,4586.076586
00617,17855.5,2747.522842
00623,35351.33333,1598.543154
00624,18881,2076.866468
00627,33695.5,1590.20777
00631,9531,285.2966667
00637,23750.33333,1152.703691
00638,20379.5,781.9445329
00641,24855.5,516.3381865
00646,22223,2757.481232
00653,21219.66667,1275.888119
00656,21630,1853.133179
00659,29125.5,1290.737322
00660,27904,3570.51971
00662,22614.75,2610.39248
00664,22355,608.0690893
00667,26441.8,4391.697281
00669,22213.75,3286.950091
00674,35143,3482.560578
00676,20337,449.3361356
00677,18663,846.6213776
00678,19277.5,2751.445513
00680,18687.42857,3659.861349
00682,20925.5,1511.037872
00683,35797,391.5048464
00685,19434.5,2486.354216
00687,22249.5,3159.000779
00692,27621.5,1882.840941
00693,19546,2665.307764
00698,24325,1816.895516
00703,22111.25,2142.127296
00705,23915.5,3085.352864
00707,28610.5,1003.857519
00714,20629,352.1539611
00715,26437,937.7932387
00718,26759,842.1644743
00719,28036.33333,2204.585459
00720,19873.66667,1374.547893
00723,12513,555.8631902
00725,31626.125,3044.439542
00726,69133,2265.100667
00727,25012.75,2299.442254
00728,13641,345.9669778
00729,48081.33333,2511.352376
00731,26519.76923,4760.951185
00732,7224,235.2974667
00733,28457,1168.479785
00735,31032,1960.616669
00736,23463,2418.212949
00737,21494,328.9886666
00738,25951.75,1888.308855
00739,26994.33333,1464.76528
00745,26432.83333,3670.716539
00751,28516.66667,3634.302714
00754,21023.33333,2234.400365
00757,15859,395.9756
00765,27742,638.6329886
00766,22675.33333,2017.411691
00767,18267.66667,1288.940933
00769,20102.33333,1392.978395
00771,20053.33333,3219.01782
00772,20023.75,1054.287713
00773,23729.5,788.4612407
00777,22529,2292.093789
00778,21931.66667,2958.242754
00780,18470,388.4721387
00782,18327,841.206535
00783,21072.5,4446.374398
00784,16858.5,1790.623114
00791,25595.75,4024.202893
00792,24591,1072.251044
00794,26368.5,1039.933881
00795,28429.8,4330.505354
00901,30222.25,866.0168581
00906,0,0
00907,67875,101.4928197
00909,36350,703.8286968
00912,30753,244.4164915
00914,12736,1301.038656
00915,16482.66667,1293.218058
00917,22190,125.5217146
00920,13976,246.581344
00921,15492,1970.406779
00923,25091,1418.817312
00924,31725.75,1107.796927
00925,24066,258.1143807
00926,70117,3248.793808
00927,36412,671.4038823
00928,39401.35714,6684.086397
00934,70323,335.5504927
00949,24039.28571,4106.698974
00950,16128,621.6377333
00951,33975,2520.287335
00953,32863.75,2600.847904
00956,34488.28571,2821.074416
00957,33352.9,4473.377425
00959,23237.66667,1424.532708
00960,27977.5,913.4354938
00961,16570,284.8190166
00962,27044.8,2680.406677
00963,13245,184.6480332
00969,73614,1814.936138
00970,26433.875,6455.071414
00971,35484.75,3556.818197
00976,37596,4276.725607
00979,37257.75,2210.600487
00983,34740.5,45036.388
00984,29449.33333,2182.744358
00985,37947,1473.755673
00986,35947,537.7568049
00987,38681,1428.581195
00988,27264.5,2002.907879
01001,64780,415.742766
01002,85645.33333,470.5349938
01005,95647,268.149846
01013,35339,659.5734167
01020,63987.5,558.6058327
01022,62054,424.2451035
01027,93036.5,1191.537136
01030,69955,319.7547952
01033,81043,260.5483606
01035,81291,485.6381471
01036,110812,150.1886353
01038,74502,790.6185649
01040,55908.5,3238.078123
01050,71905,1527.606385
01056,80398,916.0805855
01060,85456,126.2267443
01062,71196,177.052283
01069,51620,523.8809965
01075,48722,454.3198548
01077,69112,374.0794446
01081,76255.5,1195.244245
01082,48871,588.2450027
01085,48966,1245.128987
01089,77029,1222.898412
01092,48020,332.5882504
01093,71528,1249.088833
01095,107530,530.9341243
01104,42570.5,493.1476356
01105,23653.5,1272.232028
01106,116693,683.1613494
01107,72001.5,686.745909
01108,45025.5,1820.361309
01109,42481,458.186777
01118,67822,169.3915025
01119,61897.5,1346.613562
01151,38367,1826.364873
01201,51498.8,1714.137226
01220,51301,147.1972679
01223,73612,243.0216534
01225,62695,842.031313
01230,55825,250.7952993
01237,69196,131.4913385
01238,104263,90.55827494
01240,74653,1723.784848
01247,24461,363.3524312
01249,64826,1665.43318
01253,74902,189.4570478
01257,68132,497.28187
01267,90115,549.2731729
01301,61561,341.7891227
01330,79780,236.9565729
01331,52016,3847.779919
01337,73433,205.422291
01364,50155,394.6841133
01373,86049,374.7775987
01376,50964,275.960068
01420,54553.25,1499.858488
01431,85750,232.5876415
01432,116236,232.9454091
01440,46945.66667,7112.404309
01450,116936,324.9142538
01451,143484,102.0272003
01453,55125,1893.512099
01460,91817,492.3725868
01462,98918,184.5514462
01468,83602,252.3907596
01469,107414,639.7897927
01473,104307,218.3154532
01475,46502,392.9958487
01501,77291,166.2922856
01507,112818,263.7775716
01510,64043,377.9474706
01520,118645,76.69463326
01524,87385,275.4884386
01527,75455,1308.521139
01532,121888.5,1054.07521
01535,75147,558.2374424
01536,101513,389.4092581
01540,56404,202.7587579
01545,136849,141.5175711
01550,69361.5,1086.314125
01560,92109,239.8877508
01562,45163,296.3174394
01564,112346.5,1223.91124
01566,79570,247.9196741
01568,76887,576.901788
01569,124378,150.1218698
01570,85824,373.0521123
01571,56924,1294.522635
01581,142576,96.65893882
01583,115656,89.56008353
01588,74814,1205.878552
01602,68931,605.0359884
01603,64412,2566.83934
01604,47648.25,2488.756945
01605,93830.5,546.3648852
01606,66872,2113.000831
01607,74550,137.5943243
01609,37215,1623.808153
01610,32247,256.0916361
01612,111571,552.9967137
01701,94555.25,1718.658174
01702,77812,286.2765926
01720,118890,73.86093943
01721,80009,361.6230979
01730,136709,308.905886
01740,148988,162.9161436
01741,151855,227.9429678
01742,136270,902.1414316
01746,111854.3333,1235.193758
01748,146861,80.35707048
01749,90736.5,3299.938871
01752,90568,2083.776495
01754,109797,268.0216482
01757,74948.33333,2114.158111
01760,124697.5,1219.781713
01772,157890,63.12480605
01775,133513.5,1081.177465
01776,163820.5,468.2107847
01778,148946.5,1100.547465
01801,95390,1787.230622
01803,109749,124.0226826
01810,124116,299.9487893
01821,108409,835.6982322
01824,108921.3333,1044.86747
01826,91643.33333,1653.514
01827,130749,220.2184686
01832,84106.5,946.8177787
01833,113770,396.7322608
01835,63413,2944.754986
01841,56745.75,4068.806387
01843,53497.5,869.5907253
01844,93444.66667,9216.244598
01845,123752.3333,1042.158102
01850,70089.5,594.2705695
01851,67781,922.8546177
01852,60415.75,1601.609681
01854,55849.5,935.8494012
01862,0,0
01864,119524,973.6785768
01867,80718,1846.403455
01876,97553.5,540.2376117
01880,92194.5,505.4275119
01886,103763,93.76058513
01887,118001,278.2137776
01890,142924,774.004619
01902,58588,2398.044327
01904,103387,193.0180484
01905,63387.25,1605.914062
01906,85212,1763.665901
01907,102229,1232.933401
01908,73644,179.9274773
01913,76628.5,1009.240757
01915,90636.5,2173.69087
01923,68430,468.5830691
01929,108593,219.9804311
01930,62287.75,796.4353231
01938,87956,452.6088569
01940,139750,133.2872443
01945,106954.3333,1074.492957
01949,99395,323.2765165
01950,93792,331.0427869
01951,106307,322.6468285
01952,72345,373.2870399
01960,78500.2,13620.67919
01966,80000,287.3879569
01970,72287.75,10337.98834
01983,130593.5,1111.571752
01984,132348,194.1183186
01985,132284,103.3586437
02019,105102,367.6418736
02021,132835.5,590.0764909
02025,94831,97.92402819
02026,95495,730.9188525
02030,166918,438.4275171
02032,133200,320.7107706
02038,141997.6667,1709.010109
02043,121290,320.646043
02045,82780,335.5203605
02048,89936.5,659.9982977
02050,122255.6667,1184.182685
02052,142624,128.8878602
02053,130026,224.1474154
02056,113690,113.42598
02061,121653,178.4235908
02062,105795.6667,1013.961088
02066,130056,111.6200202
02067,139553,198.3167586
02072,95042.5,531.4184696
02081,105385.5,1134.498247
02090,145265,120.1230663
02093,98077,471.8413709
02111,58797,755.5812158
02113,96815.66667,1245.981307
02115,54187,323.1109209
02116,117380,1114.004059
02118,99241.5,1110.784152
02119,42292.5,510.1304271
02120,55053.33333,1516.940461
02121,42972.33333,1241.593236
02122,77838.25,1976.036975
02124,75882,872.4640175
02125,56183.83333,2124.842994
02126,69484,529.2020607
02127,90494.66667,1551.434852
02128,59071.8,1864.838387
02129,110649.5,2221.274712
02130,97116.5,2013.670004
02131,59719.66667,559.2639353
02132,102057.25,1000.841401
02134,55446.66667,682.7033403
02135,63251,1017.338793
02136,54998.5,714.4309159
02138,92285.25,894.2395353
02139,67326.6,2218.067062
02140,94152.5,1759.015565
02141,66474,388.9139614
02143,110267,87.19319545
02144,87139.6,1181.88652
02145,77454.66667,444.4036669
02148,55729.66667,2895.659285
02149,62612.33333,914.2960836
02150,55533.66667,1696.682451
02151,61097.6,3146.24466
02152,95898.25,1010.43432
02155,90494.6,1845.827681
02169,81179.8,2581.834698
02170,92879,20438.35918
02171,89608.33333,1350.423193
02176,121412.3333,1255.981736
02180,90131.5,562.5037422
02184,95531.25,1009.203281
02186,132958.5,195.5896935
02188,58109,265.8196916
02189,59112,349.3215128
02190,48119.5,178.7214131
02191,75842.5,1248.244221
02215,41144.33333,647.182472
02301,58985.25,4353.909666
02302,74180,413.910859
02322,92888.5,903.9830957
02324,87763,229.7582136
02330,119269,110.5570558
02332,132395,313.5149212
02333,118081.3333,647.6532671
02339,128679,313.6048236
02341,95041.5,752.8060657
02343,117238.5,1097.16696
02346,80881,1681.228922
02347,131209,110.5510244
02351,122831,169.7500507
02359,85787,282.9847195
02360,90388.28571,3118.799236
02364,83744,337.8837549
02368,80143,310.4177561
02370,82704,1229.070765
02375,106066,954.2093191
02382,87082,167.1917612
02420,157533,211.8471485
02421,143482,697.6484313
02445,75273.66667,1420.224501
02446,117089,252.5747944
02451,73109.5,1555.83451
02452,100586,334.6426893
02453,97158,517.6687468
02458,123219,106.7922371
02459,140254.3333,975.0070761
02460,130485,557.8925921
02461,102818,237.6175411
02465,153619,235.3153267
02467,96915.66667,11418.77504
02472,118624.3333,1393.831275
02474,106667,397.1685048
02476,132109.75,341.063515
02478,142314.6667,749.2136811
02481,170658,33.82777806
02482,169048,41.79595545
02492,139998,687.3390861
02493,175409,99.25768505
02494,145404,220.6074798
02532,78998,1411.538291
02536,73485,153.1639365
02537,86671,189.8587323
02539,82883,247.4544412
02540,87954.66667,1702.497814
02554,93951.25,1567.356069
02556,115636,191.5582606
02568,56044,139.2636216
02571,53904.5,1220.864218
02576,118792,237.6133011
02601,76834.5,613.9297046
02631,90841,1103.919066
02632,68893,1302.979349
02633,84372,99.16039634
02642,86417,201.2541256
02644,94191,125.5588596
02645,62842,919.5872989
02648,103792,202.3509675
02649,97436,279.7520546
02653,74492,378.3843417
02657,74005,110.2286811
02660,67812,234.1523408
02664,54076,441.8537152
02673,76551.5,1197.815087
02703,90517,666.2370945
02715,90956,224.5887234
02717,119120,163.9538151
02719,90768,402.7128602
02720,57672.66667,1077.949027
02721,45866.6,2486.348552
02723,52474.33333,1597.893889
02725,65421,1508.444731
02726,102387,259.6799402
02738,104407,1031.240678
02739,104563,241.0196615
02740,53580.83333,2819.952638
02744,36694,274.6841577
02745,55532.66667,1234.265259
02746,28247,1655.269196
02747,77717,299.3121389
02748,89754,328.2385172
02760,114960.3333,1114.197044
02766,84024,344.9191528
02767,94539,1386.61555
02771,101419.6667,1848.895006
02777,98261,78.59446376
02780,76927.25,2397.533955
02790,78260,415.8467333
02804,64346,120.33005
02806,131964.5,376.0772306
02807,76518,7.266081741
02809,91658,353.9040769
02815,129181,23.89897997
02816,89353.5,784.6502547
02818,117738,793.3080312
02830,84854.5,715.6913865
02832,73111,617.0859891
02835,108607,831.1901556
02837,85901,646.627572
02838,104505,309.7121863
02840,88872,366.1719863
02842,76219.66667,1255.636132
02852,95488.66667,1791.575995
02857,107001,353.4391634
02860,54274.8,2456.205592
02861,61266.25,1210.922603
02863,31196,286.552559
02864,56657.33333,2208.348311
02865,96984,97.15865655
02871,93070,312.1153189
02876,104342,176.0900836
02879,91862.8,1853.37232
02885,83266.5,1149.912455
02886,77013.5,1893.345023
02888,90569.5,370.5784264
02889,59157,1300.738424
02891,92978.25,1437.480255
02893,63108.66667,1523.991493
02895,41990.25,1792.409604
02903,41232.33333,743.0936491
02904,68439.33333,2001.172811
02905,45988.66667,496.7484642
02906,114096.3333,1176.015098
02907,38351,1755.590592
02908,37689.5,1763.92493
02909,42598.6,2112.283763
02910,63776,1028.690808
02911,59608,273.9207634
02914,64378,2295.007799
02915,74559,382.9156043
02917,49992,452.4808694
02919,65116.33333,1247.18985
02920,71559.2,2298.436228
03031,109143,238.5511119
03037,85338,263.7504275
03038,83690,885.1825685
03043,76762,372.6488417
03044,100683,555.2156271
03045,88307.5,1412.896661
03049,118896,200.3587335
03051,84957,288.610753
03053,109649.3333,1385.692847
03054,110103,1407.932958
03060,67345,626.7793652
03062,86021.66667,1346.297241
03063,79770,348.7183869
03064,45625,1577.195754
03076,122178,121.5913705
03079,94065.33333,1198.385935
03086,72593.5,1020.887418
03087,120736,856.0733593
03101,61100,334.7155906
03102,61184.5,563.273148
03103,54977.5,1708.010356
03104,77110.75,1449.465634
03106,110111,153.8193258
03109,94296,531.6400918
03110,123333,293.5466497
03222,38231,107.3948959
03225,79446,289.4455538
03229,126550,153.0881856
03235,49184,378.1242537
03242,65132,229.8198808
03246,60130,1373.538696
03251,45525.5,534.4164437
03253,87161.5,936.322036
03257,96158,96.8607851
03264,40741,231.7280337
03275,52818,4087.405197
03278,84167,867.4502875
03301,77695.66667,9915.996899
03303,82095,303.2820491
03307,71785,328.3488082
03431,67534.5,697.1364125
03440,72228,524.2357439
03446,91507,222.8143718
03447,67623.5,1014.623091
03457,77114,262.8532774
03458,44942,454.689462
03470,54114,1440.215235
03561,44188,387.1520092
03570,36446,243.8624945
03574,56566,237.2586123
03581,68583,204.2957884
03582,44553,387.8182338
03583,67882,543.0082118
03603,53430,1971.066244
03609,45703,450.4188756
03741,97511,608.2954032
03743,56451,486.1169363
03755,157407,100.9880991
03766,67791,2070.409576
03770,98971,192.2544861
03773,67382,241.7505966
03774,71281,92.96074804
03779,70467,194.5250854
03801,86644,944.8856171
03809,68661,260.4561462
03814,57139,1128.354354
03816,75274,221.4239793
03820,65210,615.9154695
03824,78689,533.031864
03825,81351,474.4850857
03833,92968,1083.671415
03835,48467,1562.10241
03842,48077,329.4463406
03848,99536,280.8087023
03851,52933,172.1246493
03857,91109,196.320351
03858,87585,159.4566163
03860,51431,445.2196897
03861,90551,330.5739054
03862,103240,242.6463733
03867,72618,8386.21745
03869,80179,530.8771803
03872,58885.5,399.454688
03873,95817,466.3022501
03874,56797,540.0912499
03878,87641,155.1558718
03884,97931,554.1932361
03885,124010,981.7721068
03886,52830,516.8499894
03903,88455.5,1519.540009
03906,65418,276.3551173
03909,74444,469.9450129
04005,74229.66667,1318.534773
04009,70806,232.3244611
04011,39922,411.9835374
04030,68932,220.0552599
04032,80645,562.2652314
04038,70595,20.39961598
04039,85232,240.721309
04041,54482,1586.471204
