ZIP,Median gross rent
601,373
602,380
603,400
606,284
610,415
612,395
616,509
617,478
622,538
623,422
624,431
627,419
631,223
637,464
638,372
641,387
646,694
647,525
650,524
652,373
653,400
656,342
659,436
660,393
662,483
664,384
667,417
669,407
670,314
674,471
676,424
677,444
678,445
680,410
682,409
683,391
685,395
687,489
688,418
690,560
692,502
693,511
694,871
698,379
703,445
704,345
705,443
707,390
714,467
715,314
716,391
717,276
718,430
719,478
720,375
723,332
725,487
727,688
728,428
729,530
730,354
731,434
735,473
736,464
738,475
739,519
740,568
741,505
745,553
751,393
754,483
757,435
765,646
766,385
767,428
769,457
771,517
772,372
773,484
775,604
777,407
778,676
780,871
782,388
783,513
784,380
786,871
791,433
794,416
795,445
901,506
906,871
907,735
909,443
911,682
912,571
913,184
915,404
917,442
918,298
920,621
921,512
923,359
924,382
925,448
926,597
927,512
934,871
936,871
949,573
950,871
951,871
952,532
953,627
956,572
957,521
959,575
960,871
961,495
962,338
965,435
966,807
968,883
969,814
971,544
976,531
979,799
982,603
983,571
985,493
987,667
1001,1034
1002,1278
1003,871
1005,945
1007,970
1008,825
1009,871
1010,743
1011,900
1012,1203
1013,860
1020,889
1022,1226
1026,829
1027,937
1028,928
1029,632
1030,819
1031,821
1032,1344
1033,992
1034,1125
1035,1050
1036,964
1037,871
1038,1079
1039,1105
1040,795
1050,987
1053,1561
1054,1163
1056,922
1057,819
1060,1124
1062,915
1063,871
1066,871
1068,1201
1069,727
1070,1000
1071,829
1072,1519
1073,989
1074,1083
1075,948
1077,933
1079,1322
1080,845
1081,843
1082,812
1083,876
1084,871
1085,947
1086,871
1088,985
1089,849
1092,468
1093,871
1094,522
1095,775
1096,973
1097,871
1098,788
1103,841
1104,838
1105,707
1106,1375
1107,715
1108,940
1109,945
1118,873
1119,901
1128,1682
1129,1071
1151,916
1199,871
1201,819
1220,704
1222,1222
1223,1375
1224,726
1225,923
1226,861
1229,871
1230,928
1235,735
1236,1097
1237,1132
1238,771
1240,820
1242,871
1243,871
1244,871
1245,1194
1247,711
1253,625
1254,1354
1255,595
1256,825
1257,1023
1258,871
1259,950
1260,871
1262,758
1264,1125
1266,1682
1267,995
1270,871
1301,864
1330,917
1331,846
1337,983
1338,871
1339,791
1340,968
1341,1150
1342,2103
1343,871
1344,734
1346,871
1347,871
1349,978
1350,825
1351,864
1354,1006
1355,1074
1360,830
1364,784
1366,775
1367,1323
1368,1118
1370,840
1373,943
1375,1293
1376,784
1378,1097
1379,956
1420,954
1430,1292
1431,1174
1432,927
1434,871
1436,903
1438,871
1440,786
1450,1289
1451,1375
1452,987
1453,913
1460,975
1462,1617
1463,1118
1464,972
1467,871
1468,1105
1469,862
1473,1136
1474,1065
1475,729
1501,961
1503,1037
1504,852
1505,921
1506,908
1507,969
1510,1118
1515,1094
1516,1006
1518,699
1519,1142
1520,1223
1521,1298
1522,1077
1523,1131
1524,876
1525,871
1527,1029
1529,1154
1531,945
1532,1344
1534,748
1535,797
1536,1122
1537,866
1540,808
1541,1129
1542,1088
1543,948
1545,1249
1550,868
1560,1118
1561,871
1562,858
1564,1270
1566,1258
1568,903
1569,1134
1570,885
1571,960
1581,1539
1583,892
1585,1303
1588,962
1590,787
1602,1150
1603,996
1604,1084
1605,929
1606,1029
1607,993
1608,787
1609,994
1610,1015
1611,963
1612,973
1701,1371
1702,1260
1718,871
1719,1010
1720,1346
1721,1312
1730,1770
1731,2619
1740,871
1741,1328
1742,2006
1745,871
1746,1001
1747,1054
1748,1675
1749,1148
1752,1350
1754,1111
1756,1486
1757,1119
1760,1392
1770,1153
1772,1092
1773,1831
1775,1507
1776,923
1778,1086
1801,1478
1803,1851
1810,1423
1821,1368
1824,1378
1826,1281
1827,1682
1830,1093
1832,1118
1833,1463
1834,1272
1835,1125
1840,905
1841,1058
1843,1123
1844,1160
1845,1399
1850,1155
1851,1134
1852,1057
1854,1007
1860,795
1862,1225
1863,1144
1864,1434
1867,1220
1876,1647
1879,1266
1880,1298
1886,1841
1887,1772
1890,1568
1901,819
1902,1079
1904,1346
1905,1093
1906,1045
1907,1583
1908,1312
1913,1113
1915,1141
1921,800
1922,871
1923,1259
1929,1108
1930,1051
1937,871
1938,1033
1940,1489
1944,1301
1945,1408
1949,1686
1950,1174
1951,1393
1952,1280
1960,1265
1966,1078
1969,1154
1970,1147
1982,1096
1983,323
1984,1262
1985,2000
2019,1364
2021,1570
2025,1496
2026,1546
2030,2415
2032,1474
2035,1397
2038,1190
2043,2190
2045,1291
2047,871
2048,1186
2050,1363
2052,1215
2053,1078
2054,1557
2056,1280
2061,711
2062,1414
2066,1072
2067,1762
2071,871
2072,1313
2081,1392
2090,1575
2093,1098
2108,2480
2109,2680
2110,2211
2111,1425
2113,1848
2114,2128
2115,1563
2116,1800
2118,1196
2119,917
2120,1074
2121,812
2122,1370
2124,1314
2125,1273
2126,1354
2127,1485
2128,1249
2129,1153
2130,1518
2131,1365
2132,1539
2134,1660
2135,1652
2136,1178
2138,1984
2139,1904
2140,1481
2141,1761
2142,3129
2143,1730
2144,1824
2145,1514
2148,1395
2149,1342
2150,1286
2151,1301
2152,1312
2155,1613
2163,2380
2169,1374
2170,1272
2171,1554
2176,1243
2180,1390
2184,1373
2186,1520
2188,1346
2189,1203
2190,1464
2191,1374
2199,2860
2203,871
2210,3072
2215,1778
2301,1058
2302,1033
2322,1116
2324,1385
2330,1319
2332,2176
2333,1148
2338,1599
2339,1161
2341,932
2343,1046
2346,1138
2347,1347
2351,1169
2356,1269
2357,871
2359,1633
2360,1343
2364,1241
2366,871
2367,1216
2368,1308
2370,1181
2375,1468
2379,1289
2382,1057
2420,2126
2421,1942
2445,2133
2446,2109
2451,1614
2452,1668
2453,1432
2457,871
2458,1740
2459,1744
2460,1708
2461,1761
2462,1790
2464,1667
2465,1789
2466,1691
2467,2171
2468,2313
2472,1720
2474,1615
2476,1542
2478,1802
2481,2000
2482,1483
2492,854
2493,1542
2494,1754
2532,1255
2534,871
2535,1458
2536,1420
2537,1440
2538,1185
2539,1702
2540,924
2542,1240
2543,1328
2553,871
2554,1689
2556,1391
2557,1386
2558,1102
2559,1265
2561,871
2562,1350
2563,1164
2564,871
2568,1282
2571,985
2575,871
2576,1408
2584,871
2601,1147
2630,1723
2631,936
2632,1326
2633,917
2635,1928
2637,871
2638,1166
2639,1169
2641,871
2642,1000
2643,871
2644,1208
2645,1221
2646,1267
2647,871
2648,1917
2649,1339
2650,1532
2651,871
2652,894
2653,1040
2655,1523
2657,1120
2659,1378
2660,1064
2663,871
2664,1231
2666,1066
2667,1007
2668,1417
2669,871
2670,1094
2671,1077
2672,871
2673,1342
2675,1388
2702,1428
2703,1030
2713,871
2715,1115
2717,1052
2718,702
2719,886
2720,814
2721,731
2723,721
2724,705
2725,1091
2726,993
2738,1078
2739,1142
2740,812
2743,793
2744,753
2745,831
2746,794
2747,965
2748,902
2760,1005
2762,1290
2763,1208
2764,624
2766,1138
2767,1382
2769,1250
2770,995
2771,1124
2777,894
2779,871
2780,977
2790,1052
2791,1296
2802,758
2804,591
2806,1407
2807,841
2808,1140
2809,1032
2812,871
2813,1141
2814,796
2815,871
2816,927
2817,1656
2818,987
2822,873
2825,1092
2826,871
2827,1458
2828,840
2830,892
2831,1086
2832,1240
2833,669
2835,1761
2836,871
2837,1250
2838,924
2839,1136
2840,1165
2841,871
2842,1250
2852,1002
2857,924
2858,1101
2859,953
2860,839
2861,976
2863,833
2864,947
2865,1187
2871,1279
2872,871
2873,871
2874,1857
2875,871
2876,1292
2878,936
2879,1062
2881,1172
2882,1271
2885,943
2886,1081
2888,1034
2889,1100
2891,1063
2892,1612
2893,936
2894,871
2895,848
2896,985
2898,1059
2903,1005
2904,844
2905,901
2906,1204
2907,921
2908,961
2909,907
2910,1008
2911,997
2912,871
2914,915
2915,975
2916,874
2917,880
2919,940
2920,1007
2921,1068
3031,1569
3032,869
3033,1172
3034,1619
3036,2097
3037,1163
3038,1152
3042,1118
3043,1263
3044,1523
3045,1106
3046,1125
3047,1014
3048,831
3049,1573
3051,1380
3052,1193
3053,1345
3054,1426
3055,1110
3057,927
3060,1097
3062,1372
3063,1352
3064,1088
3070,1301
3071,1107
3076,1168
3077,1283
3079,1081
3082,1163
3084,1358
3086,979
3087,2175
3101,817
3102,1108
3103,1048
3104,1061
3106,1216
3109,1123
3110,1647
3215,871
3216,894
3217,843
3218,871
3220,825
3221,1086
3222,851
3223,722
3224,825
3225,992
3226,1154
3227,1354
3229,1080
3230,942
3231,871
3233,871
3234,1058
3235,832
3237,1060
3238,871
3240,923
3241,874
3242,879
3243,1275
3244,1001
3245,1004
3246,921
3249,1057
3251,801
3253,927
3254,1281
3255,1313
3256,995
3257,1109
3258,1026
3259,871
3260,1208
3261,1053
3262,688
3263,784
3264,822
3266,943
3268,966
3269,1625
3273,871
3275,981
3276,901
3278,1080
3279,754
3280,733
3281,1395
3282,1000
3284,1000
3285,1014
3287,1266
3290,1019
3291,871
3293,871
3301,1031
3303,1011
3304,1061
3307,1077
3431,979
3440,938
3441,871
3442,993
3443,871
3444,868
3445,1116
3446,940
3447,971
3448,1054
3449,1093
3450,975
3451,752
3452,795
3455,844
3456,913
3457,971
3458,956
3461,1166
3462,856
3464,1179
3465,937
3466,726
3467,1092
3470,1116
3561,645
3570,722
3574,830
3575,871
3576,655
3579,665
3580,989
3581,586
3582,683
3583,810
3584,741
3585,904
3586,814
3588,648
3590,513
3592,444
3593,856
3595,742
3597,772
3598,774
3601,892
3602,806
3603,781
3604,871
3605,967
3607,1188
3608,843
3609,763
3740,747
3741,1092
3743,861
3745,1042
3746,871
3748,978
3750,871
3751,912
3752,1016
3753,1675
3754,871
3755,1427
3765,871
3766,992
3768,1167
3770,871
3771,731
3773,871
3774,1088
3777,1156
3779,613
3780,871
3781,1578
3782,1093
3784,899
3785,903
3801,1208
3809,796
3810,2080
3811,882
3812,731
3813,945
3814,871
3816,988
3817,889
3818,783
3819,935
3820,1084
3823,1054
3824,999
3825,1025
3826,781
3827,1726
3830,871
3832,888
3833,1140
3835,935
3836,1313
3837,1175
3838,1108
3839,979
3840,1868
3841,1124
3842,1163
3844,1635
3845,827
3846,894
3847,871
3848,1165
3849,1125
3850,871
3851,1058
3852,871
3853,871
3854,2034
3855,1045
3856,1386
3857,1103
3858,1127
3860,1092
3861,1075
3862,1736
3864,871
3865,1311
3867,947
3868,1096
3869,1072
3870,1681
3871,871
3872,710
3873,1452
3874,969
3875,871
3878,1000
3882,914
3883,871
3884,928
3885,1451
3886,789
3887,1160
3890,871
3894,837
3901,884
3902,871
3903,1013
3904,1371
3905,871
3906,900
3907,1163
3908,879
3909,1040
3910,871
3911,871
4001,1011
4002,953
4003,871
4005,914
4006,1036
4008,1314
4009,845
4010,1080
4011,831
4015,1029
4017,950
4019,871
4020,697
4021,1092
4022,871
4024,700
4027,871
4029,1032
4030,871
4032,1171
4037,875
4038,1024
4039,1047
4040,877
4041,821
4042,870
4043,1017
4046,1030
4047,825
4048,961
4049,795
4050,950
4051,681
4055,988
4056,871
4057,871
4061,688
4062,1000
4063,271
4064,891
4066,1137
4068,929
4069,956
4071,897
4072,1010
4073,802
4074,1308
4076,992
4079,872
4083,848
4084,868
4085,871
4086,910
4087,871
4088,756
4090,777
4091,1188
4092,899
4093,890
4095,833
4096,1095
4097,1073
4101,963
4102,982
4103,1136
4105,1657
4106,1119
4107,1060
4108,575
4109,871
4110,871
4210,746
4216,575
4217,584
4219,1143
4220,688
4221,1007
4222,746
4224,648
4226,871
4227,871
4228,871
4231,871
4234,871
4236,1065
4237,871
4238,1038
4239,571
4240,696
4250,734
4252,714
4253,595
4254,597
4255,975
4256,672
4257,560
4258,786
4259,995
4260,984
4261,900
4263,781
4265,1125
4267,871
4268,718
4270,675
4271,871
4274,785
4275,683
4276,599
4280,1062
4281,632
4282,643
4284,789
4285,842
4286,871
4287,776
4289,716
4290,721
4292,525
4294,604
4330,707
4342,821
4343,871
4344,754
4345,674
4346,700
4347,850
4348,938
4349,1125
4350,697
4351,693
4352,930
4353,980
4354,864
4355,1013
4357,882
4358,750
4359,871
4360,950
4363,793
4364,785
4401,797
4406,691
4408,871
4410,592
4411,728
4412,863
4413,871
4414,570
4415,630
4416,753
4417,871
4418,720
4419,938
4421,935
4422,289
4424,492
4426,527
4427,648
4428,836
4429,848
4430,465
4431,871
4434,1125
4435,385
4438,755
4441,720
4442,871
4443,546
4444,866
4448,652
4449,650
4450,835
4451,871
4453,806
4454,871
4455,645
4456,906
4457,656
4459,440
4460,617
4461,825
4462,535
4463,734
4464,350
4468,687
4469,871
4471,646
4472,838
4473,918
4474,837
4475,542
4476,910
4478,871
4479,796
4481,871
4485,721
4487,629
4488,871
4489,871
4490,871
4491,871
4492,871
4493,793
4495,871
4496,762
4497,442
4530,767
4535,1088
4537,923
4538,717
4539,1069
4541,871
4543,757
4544,871
4547,1087
4548,900
4551,871
4553,936
4554,917
4555,912
4556,934
4558,871
4562,856
4563,901
4564,871
4568,1063
4570,871
4571,871
4572,477
4573,1106
4574,950
4575,871
4576,815
4578,712
4579,986
4605,782
4606,643
4607,768
4609,879
4611,871
4612,861
4613,871
4614,734
4616,1083
4617,692
4619,657
4622,542
4623,780
4624,871
4625,871
4626,652
4627,580
4628,375
4629,871
4630,851
4631,660
4634,969
4635,871
4637,871
4640,793
4642,871
4643,918
4644,871
4645,871
4646,871
4648,825
4649,648
4650,871
4652,464
4653,716
4654,593
4655,713
4657,590
4658,695
4660,952
4662,928
4664,943
4666,533
4667,563
4668,292
4669,871
4671,871
4673,871
4674,800
4675,871
4676,1007
4677,1200
4679,762
4680,563
4681,719
4683,729
4684,871
4685,633
4686,871
4691,825
4693,625
4694,629
4730,508
4732,453
4733,871
4734,693
4735,234
4736,645
4739,513
4740,871
4741,871
4742,580
4743,556
4745,525
4746,379
4747,425
4750,675
4756,537
4757,542
4758,425
4760,491
4761,805
4762,714
4763,518
4764,871
4765,525
4766,733
4768,871
4769,655
4772,456
4773,607
4774,281
4776,625
4777,838
4779,478
4780,566
4781,871
4783,578
4785,538
4786,557
4787,704
4841,733
4843,772
4847,760
4848,850
4849,906
4851,871
4852,871
4853,910
4854,988
4855,871
4856,947
4858,675
4859,1150
4860,873
4861,763
4862,982
4863,575
4864,787
4901,682
4910,833
4911,630
4912,588
4915,822
4917,871
4918,871
4920,408
4921,732
4922,625
4923,725
4924,771
4925,871
4926,871
4927,985
4928,813
4929,749
4930,809
4932,783
4933,871
4936,871
4937,802
4938,628
4939,871
4940,871
4941,545
4942,875
4943,662
4944,871
4945,653
4947,797
4949,635
4950,712
4951,1125
4952,896
4953,739
4955,800
4956,918
4957,791
4958,689
4961,505
4962,871
4963,771
4964,871
4965,929
4966,556
4967,840
4969,720
4970,483
4971,843
4973,758
4974,331
4975,871
4976,708
4978,1034
4979,661
4981,802
4982,456
4983,661
4984,871
4985,871
4986,847
4987,777
4988,825
4989,834
4992,871
5001,984
5031,871
5032,770
5033,867
5034,794
5035,1074
5036,928
5037,871
5038,690
5039,875
5040,667
5041,871
5042,1525
5043,769
5045,958
5046,525
5048,974
5050,871
5051,938
5052,871
5053,1594
5055,1078
5056,548
5058,871
5059,1519
5060,769
5061,753
5062,881
5065,1145
5067,871
5068,937
5069,871
5070,1125
5071,871
5072,1625
5075,788
5076,874
5077,883
5079,943
5081,614
5083,871
5084,871
5086,825
5089,779
5091,1094
5101,781
5141,825
5142,817
5143,856
5146,1042
5148,1019
5149,828
5150,917
5151,1018
5152,925
5153,889
5154,875
