Zip,employment_status-population-employed_population_16_years_and_over
601,3904
602,11560
603,12722
606,1467
610,8327
612,16087
616,2743
617,5307
622,1443
623,11511
624,5832
627,8710
631,338
637,5513
638,3552
641,6325
646,11576
647,1258
650,3494
652,1007
653,2263
656,4458
659,12425
660,4847
662,10098
664,3126
667,4995
669,5981
670,2472
674,11012
676,9066
677,4385
678,6684
680,13186
682,8068
683,8474
685,8415
687,8164
688,3153
690,1549
692,9424
693,14422
694,0
698,9064
703,6831
704,2327
705,5931
707,2375
714,3865
715,770
716,7891
717,4190
718,7134
719,7933
720,4609
723,3983
725,27126
727,21844
728,11216
729,16517
730,8115
731,4366
735,3613
736,16086
738,10402
739,12524
740,402
741,1227
745,17701
751,5507
754,11089
757,7229
765,2872
766,7063
767,8171
769,11519
771,10151
772,5892
773,5824
775,645
777,11681
778,17697
780,3942
782,4310
783,7590
784,9346
786,87
791,14485
794,6263
795,14174
901,2205
906,56
907,7970
909,1974
911,3413
912,2562
913,1714
915,9365
917,6515
918,5765
920,6828
921,12588
923,7498
924,16857
925,2813
926,39525
927,5446
934,35
936,0
949,27855
950,0
951,8
952,3036
953,26285
956,25037
957,14056
959,19542
960,0
961,10852
962,5679
965,2268
966,6799
968,1495
969,19020
971,10679
976,23596
979,7273
982,5093
983,14659
985,11660
987,23519
1001,8715
1002,15180
1003,4258
1005,2835
1007,8050
1008,703
1009,122
1010,2124
1011,839
1012,287
1013,10378
1020,15409
1022,1106
1026,507
1027,9859
1028,8018
1029,409
1030,5890
1031,545
1032,373
1033,3602
1034,1260
1035,2845
1036,2748
1037,311
1038,1682
1039,689
1040,16494
1050,1252
1053,639
1054,1110
1056,10416
1057,4835
1060,8730
1062,5486
1063,364
1066,0
1068,970
1069,4558
1070,332
1071,719
1072,834
1073,3528
1074,112
1075,9189
1077,4835
1079,293
1080,935
1081,837
1082,5036
1083,1513
1084,82
1085,21370
1086,161
1088,232
1089,14058
1092,611
1093,191
1094,109
1095,7528
1096,1409
1097,36
1098,664
1103,880
1104,9103
1105,3271
1106,7827
1107,3664
1108,11349
1109,10948
1118,7002
1119,5597
1128,1559
1129,3710
1151,3693
1199,0
1201,22050
1220,4173
1222,522
1223,1280
1224,104
1225,1594
1226,3605
1229,38
1230,4321
1235,1459
1236,668
1237,1457
1238,3001
1240,1777
1242,253
1243,256
1244,67
1245,443
1247,6927
1253,369
1254,479
1255,441
1256,378
1257,1070
1258,193
1259,302
1260,288
1262,677
1264,67
1266,754
1267,3718
1270,418
1301,9135
1330,919
1331,5902
1337,1471
1338,77
1339,688
1340,933
1341,993
1342,967
1343,20
1344,821
1346,245
1347,83
1349,601
1350,39
1351,1190
1354,1053
1355,476
1360,1586
1364,3340
1366,608
1367,304
1368,707
1370,2049
1373,2414
1375,2347
1376,2255
1378,376
1379,402
1420,18927
1430,3300
1431,1706
1432,4279
1434,285
1436,1972
1438,244
1440,9348
1450,5708
1451,2405
1452,2413
1453,21109
1460,5096
1462,5860
1463,6176
1464,2907
1467,277
1468,2281
1469,3981
1473,4394
1474,1137
1475,5479
1501,8264
1503,1798
1504,5306
1505,2527
1506,1727
1507,7107
1510,7511
1515,1252
1516,4987
1518,1479
1519,3765
1520,8141
1521,1371
1522,1694
1523,3518
1524,3660
1525,86
1527,7252
1529,1739
1531,555
1532,7965
1534,3575
1535,2519
1536,3920
1537,1216
1540,5730
1541,1794
1542,1332
1543,4573
1545,19065
1550,8201
1560,2175
1561,137
1562,6284
1564,4144
1566,3259
1568,4018
1569,7589
1570,8336
1571,5806
1581,9735
1583,2709
1585,2289
1588,5024
1590,5066
1602,12764
1603,9482
1604,17072
1605,12160
1606,10000
1607,4114
1608,1039
1609,8630
1610,9871
1611,1434
1612,2589
1701,18065
1702,21485
1718,270
1719,2991
1720,11807
1721,9960
1730,6954
1731,347
1740,2886
1741,2500
1742,8085
1745,193
1746,7288
1747,3096
1748,8350
1749,10653
1752,22490
1754,5800
1756,3274
1757,15338
1760,19353
1770,1995
1772,4815
1773,2406
1775,3685
1776,8681
1778,6790
1801,22554
1803,13342
1810,17536
1821,17709
1824,13823
1826,16678
1827,1789
1830,13039
1832,11763
1833,4684
1834,3715
1835,7477
1840,1944
1841,20456
1843,11594
1844,26180
1845,15254
1850,7548
1851,14464
1852,17088
1854,13611
1860,3662
1862,5997
1863,4659
1864,8534
1867,13293
1876,16215
1879,7150
1880,14907
1886,12297
1887,12942
1890,10999
1901,593
1902,21496
1904,9672
1905,12604
1906,14743
1907,7312
1908,1883
1913,9455
1915,22081
1921,4286
1922,1734
1923,14659
1929,1980
1930,14924
1937,8
1938,7301
1940,6872
1944,2440
1945,9704
