,ZCTA5,urban_rural-population-total_population,urban_rural-population-urban_total_population,urban_rural-population-rural_total_population,urban_rural-percent-urban_population-of-total_population,urban_rural-percent-rural_population-of-total_population
0,601,18570,10679,7891,0.575,0.425
1,602,41520,41520,0,1.0,0.0
2,603,54689,54646,43,0.999,0.001
3,606,6615,2697,3918,0.408,0.592
4,610,29016,25640,3376,0.884,0.116
5,612,67010,62391,4619,0.931,0.069
6,616,11017,10438,579,0.947,0.053
7,617,24597,24161,436,0.982,0.018
8,622,7853,6171,1682,0.786,0.214
9,623,43061,42435,626,0.985,0.015
10,624,26241,22198,4043,0.846,0.154
11,627,35159,30415,4744,0.865,0.135
12,631,1852,0,1852,0.0,1.0
13,637,25287,23163,2124,0.916,0.084
14,638,18941,11839,7102,0.625,0.375
15,641,31191,17647,13544,0.566,0.434
16,646,38199,38199,0,1.0,0.0
17,647,6172,4824,1348,0.782,0.218
18,650,14998,10556,4442,0.704,0.296
19,652,4715,3499,1216,0.742,0.258
20,653,13307,12414,893,0.933,0.067
21,656,21481,18931,2550,0.881,0.119
22,659,41953,37407,4546,0.892,0.108
23,660,17250,17216,34,0.998,0.002
24,662,43282,41045,2237,0.948,0.052
25,664,16784,11300,5484,0.673,0.327
26,667,25968,21332,4636,0.821,0.179
27,669,29744,23005,6739,0.773,0.227
28,670,9807,3214,6593,0.328,0.672
29,674,44457,41451,3006,0.932,0.068
30,676,40316,35279,5037,0.875,0.125
31,677,15272,15272,0,1.0,0.0
32,678,27819,25250,2569,0.908,0.092
33,680,58140,55306,2834,0.951,0.049
34,682,32615,31681,934,0.971,0.029
35,683,33772,30656,3116,0.908,0.092
36,685,42831,37131,5700,0.867,0.133
37,687,32610,29002,3608,0.889,0.111
38,688,13543,11072,2471,0.818,0.182
39,690,6255,6255,0,1.0,0.0
40,692,37511,36811,700,0.981,0.019
41,693,61038,58565,2473,0.959,0.041
42,694,328,328,0,1.0,0.0
43,698,41782,34339,7443,0.822,0.178
44,703,28605,25704,2901,0.899,0.101
45,704,8577,8451,126,0.985,0.015
46,705,25598,22433,3165,0.876,0.124
47,707,12225,9277,2948,0.759,0.241
48,714,19566,18740,826,0.958,0.042
49,715,3656,3445,211,0.942,0.058
50,716,33779,33772,7,1.0,0.0
51,717,18457,18457,0,1.0,0.0
52,718,26606,24447,2159,0.919,0.081
53,719,30990,30990,0,1.0,0.0
54,720,23129,15016,8113,0.649,0.351
55,723,19277,14345,4932,0.744,0.256
56,725,89374,88248,1126,0.987,0.013
57,727,58382,58098,284,0.995,0.005
58,728,44908,44878,30,0.999,0.001
59,729,53750,52665,1085,0.98,0.02
60,730,35742,35602,140,0.996,0.004
61,731,15524,9941,5583,0.64,0.36
62,735,13730,12055,1675,0.878,0.122
63,736,51532,46566,4966,0.904,0.096
64,738,34922,34138,784,0.978,0.022
65,739,39678,38548,1130,0.972,0.028
66,740,2071,2071,0,1.0,0.0
67,741,4971,4971,0,1.0,0.0
68,745,55062,53688,1374,0.975,0.025
69,751,23129,19033,4096,0.823,0.177
70,754,40828,36221,4607,0.887,0.113
71,757,23263,20295,2968,0.872,0.128
72,765,9098,8068,1030,0.887,0.113
73,766,26488,22564,3924,0.852,0.148
74,767,38019,32192,5827,0.847,0.153
75,769,40248,32781,7467,0.814,0.186
76,771,38394,37453,941,0.975,0.025
77,772,23105,22884,221,0.99,0.01
78,773,20068,18289,1779,0.911,0.089
79,775,1786,0,1786,0.0,1.0
80,777,40684,39389,1295,0.968,0.032
81,778,45429,45267,162,0.996,0.004
82,780,13800,12555,1245,0.91,0.09
83,782,19304,16841,2463,0.872,0.128
84,783,36557,34186,2371,0.935,0.065
85,784,44637,40553,4084,0.909,0.091
86,786,357,357,0,1.0,0.0
87,791,53417,53213,204,0.996,0.004
88,794,30585,29472,1113,0.964,0.036
89,795,48736,45396,3340,0.931,0.069
90,901,7080,7080,0,1.0,0.0
91,906,4,4,0,1.0,0.0
92,907,17458,17458,0,1.0,0.0
93,909,6230,6230,0,1.0,0.0
94,911,8623,8623,0,1.0,0.0
95,912,6801,6801,0,1.0,0.0
96,913,9312,9312,0,1.0,0.0
97,915,32820,32820,0,1.0,0.0
98,917,21053,21053,0,1.0,0.0
99,918,18056,18056,0,1.0,0.0
100,920,17893,17893,0,1.0,0.0
101,921,37763,37763,0,1.0,0.0
102,923,29086,29086,0,1.0,0.0
103,924,56691,56691,0,1.0,0.0
104,925,8696,8696,0,1.0,0.0
105,926,108862,108862,0,1.0,0.0
106,927,14936,14936,0,1.0,0.0
107,934,288,288,0,1.0,0.0
108,936,681,681,0,1.0,0.0
109,949,82278,82278,0,1.0,0.0
110,950,9,0,9,0.0,1.0
111,951,35,35,0,1.0,0.0
112,952,10008,10008,0,1.0,0.0
113,953,73014,73014,0,1.0,0.0
114,956,79304,79280,24,1.0,0.0
115,957,45680,45680,0,1.0,0.0
116,959,50560,50560,0,1.0,0.0
117,960,1779,1779,0,1.0,0.0
118,961,32429,32429,0,1.0,0.0
119,962,22491,22487,4,1.0,0.0
120,965,9134,9134,0,1.0,0.0
121,966,16676,16676,0,1.0,0.0
122,968,3478,3478,0,1.0,0.0
123,969,42219,42219,0,1.0,0.0
124,971,30986,30982,4,1.0,0.0
125,976,65136,65136,0,1.0,0.0
126,979,17030,17030,0,1.0,0.0
127,982,16428,16428,0,1.0,0.0
128,983,39234,39234,0,1.0,0.0
129,985,36553,36481,72,0.998,0.002
130,987,63661,63443,218,0.997,0.003
131,1001,16769,16684,85,0.995,0.005
132,1002,29049,25560,3489,0.88,0.12
133,1003,10372,10372,0,1.0,0.0
134,1005,5079,0,5079,0.0,1.0
135,1007,14649,5915,8734,0.404,0.596
136,1008,1263,0,1263,0.0,1.0
137,1009,741,630,111,0.85,0.15
138,1010,3609,0,3609,0.0,1.0
139,1011,1370,0,1370,0.0,1.0
140,1012,661,0,661,0.0,1.0
141,1013,23188,23188,0,1.0,0.0
142,1020,29668,29668,0,1.0,0.0
143,1022,2451,2451,0,1.0,0.0
144,1026,946,0,946,0.0,1.0
145,1027,17660,15417,2243,0.873,0.127
146,1028,15720,15436,284,0.982,0.018
147,1029,789,0,789,0.0,1.0
148,1030,11669,10402,1267,0.891,0.109
149,1031,1308,408,900,0.312,0.688
150,1032,570,0,570,0.0,1.0
151,1033,6227,3380,2847,0.543,0.457
152,1034,2021,0,2021,0.0,1.0
153,1035,5250,3125,2125,0.595,0.405
154,1036,5109,2684,2425,0.525,0.475
155,1037,838,0,838,0.0,1.0
156,1038,2545,0,2545,0.0,1.0
157,1039,1336,395,941,0.296,0.704
158,1040,39880,39444,436,0.989,0.011
159,1050,2530,68,2462,0.027,0.973
160,1053,1685,1254,431,0.744,0.256
161,1054,1851,0,1851,0.0,1.0
162,1056,21103,18627,2476,0.883,0.117
163,1057,8534,2317,6217,0.272,0.728
164,1060,15284,14258,1026,0.933,0.067
165,1062,11150,9975,1175,0.895,0.105
166,1063,430,430,0,1.0,0.0
167,1066,64,0,64,0.0,1.0
168,1068,1902,0,1902,0.0,1.0
169,1069,8469,6428,2041,0.759,0.241
170,1070,629,0,629,0.0,1.0
171,1071,1596,455,1141,0.285,0.715
172,1072,1478,0,1478,0.0,1.0
173,1073,5792,1107,4685,0.191,0.809
174,1074,319,0,319,0.0,1.0
175,1075,17527,16949,578,0.967,0.033
176,1077,9502,5023,4479,0.529,0.471
177,1079,692,426,266,0.616,0.384
178,1080,2334,2334,0,1.0,0.0
179,1081,1698,0,1698,0.0,1.0
180,1082,10322,6560,3762,0.636,0.364
181,1083,2888,1502,1386,0.52,0.48
182,1084,176,0,176,0.0,1.0
183,1085,41117,37649,3468,0.916,0.084
184,1086,687,687,0,1.0,0.0
185,1088,670,0,670,0.0,1.0
186,1089,28391,27877,514,0.982,0.018
187,1092,1394,638,756,0.458,0.542
188,1093,325,0,325,0.0,1.0
189,1094,351,0,351,0.0,1.0
190,1095,14319,12387,1932,0.865,0.135
191,1096,2217,0,2217,0.0,1.0
192,1097,111,65,46,0.586,0.414
193,1098,1101,0,1101,0.0,1.0
194,1103,2479,2479,0,1.0,0.0
195,1104,22865,22865,0,1.0,0.0
196,1105,12350,12350,0,1.0,0.0
197,1106,16021,16021,0,1.0,0.0
198,1107,11611,11611,0,1.0,0.0
199,1108,26688,26688,0,1.0,0.0
200,1109,30250,30250,0,1.0,0.0
201,1118,14071,14071,0,1.0,0.0
202,1119,14152,14152,0,1.0,0.0
203,1128,2631,2631,0,1.0,0.0
204,1129,7019,7019,0,1.0,0.0
205,1151,8698,8698,0,1.0,0.0
206,1199,0,0,0,,
207,1201,46504,43110,3394,0.927,0.073
208,1220,8603,7565,1038,0.879,0.121
209,1222,829,0,829,0.0,1.0
210,1223,2314,0,2314,0.0,1.0
211,1224,182,182,0,1.0,0.0
212,1225,3117,1689,1428,0.542,0.458
213,1226,6945,4892,2053,0.704,0.296
214,1229,95,0,95,0.0,1.0
215,1230,8430,3607,4823,0.428,0.572
216,1235,2766,588,2178,0.213,0.787
217,1236,1509,964,545,0.639,0.361
218,1237,2496,478,2018,0.192,0.808
219,1238,6047,4500,1547,0.744,0.256
220,1240,4534,3084,1450,0.68,0.32
221,1242,476,476,0,1.0,0.0
222,1243,334,0,334,0.0,1.0
223,1244,151,0,151,0.0,1.0
224,1245,985,0,985,0.0,1.0
225,1247,16087,12287,3800,0.764,0.236
226,1253,731,0,731,0.0,1.0
227,1254,972,0,972,0.0,1.0
228,1255,915,0,915,0.0,1.0
229,1256,692,0,692,0.0,1.0
230,1257,2121,0,2121,0.0,1.0
231,1258,374,0,374,0.0,1.0
232,1259,635,0,635,0.0,1.0
233,1260,240,62,178,0.258,0.742
234,1262,1238,535,703,0.432,0.568
235,1264,137,0,137,0.0,1.0
236,1266,1463,0,1463,0.0,1.0
237,1267,7989,5743,2246,0.719,0.281
238,1270,778,0,778,0.0,1.0
239,1301,17700,15544,2156,0.878,0.122
240,1330,1506,0,1506,0.0,1.0
241,1331,13263,7985,5278,0.602,0.398
242,1337,2596,0,2596,0.0,1.0
243,1338,187,0,187,0.0,1.0
244,1339,1438,0,1438,0.0,1.0
245,1340,1701,0,1701,0.0,1.0
246,1341,1833,0,1833,0.0,1.0
247,1342,1492,556,936,0.373,0.627
248,1343,75,0,75,0.0,1.0
249,1344,1498,489,1009,0.326,0.674
250,1346,533,0,533,0.0,1.0
251,1347,166,0,166,0.0,1.0
252,1349,1091,766,325,0.702,0.298
253,1350,121,0,121,0.0,1.0
254,1351,2270,148,2122,0.065,0.935
255,1354,1500,215,1285,0.143,0.857
256,1355,878,0,878,0.0,1.0
257,1360,3032,0,3032,0.0,1.0
258,1364,7969,4849,3120,0.608,0.392
259,1366,1277,0,1277,0.0,1.0
260,1367,522,0,522,0.0,1.0
261,1368,1261,0,1261,0.0,1.0
262,1370,4084,0,4084,0.0,1.0
263,1373,4600,1923,2677,0.418,0.582
264,1375,3684,2786,898,0.756,0.244
265,1376,5247,5247,0,1.0,0.0
266,1378,774,0,774,0.0,1.0
267,1379,813,0,813,0.0,1.0
268,1420,40337,37234,3103,0.923,0.077
269,1430,6089,602,5487,0.099,0.901
270,1431,3074,362,2712,0.118,0.882
271,1432,7089,6790,299,0.958,0.042
272,1434,1795,1795,0,1.0,0.0
273,1436,3336,2626,710,0.787,0.213
274,1438,559,514,45,0.919,0.081
275,1440,20347,19309,1038,0.949,0.051
276,1450,10646,6587,4059,0.619,0.381
277,1451,4747,79,4668,0.017,0.983
278,1452,4382,0,4382,0.0,1.0
279,1453,40883,39504,1379,0.966,0.034
280,1460,8924,8149,775,0.913,0.087
281,1462,10086,7034,3052,0.697,0.303
282,1463,11497,6620,4877,0.576,0.424
283,1464,7211,5287,1924,0.733,0.267
284,1467,316,0,316,0.0,1.0
285,1468,4021,877,3144,0.218,0.782
286,1469,6801,3362,3439,0.494,0.506
287,1473,7277,3224,4053,0.443,0.557
288,1474,2125,935,1190,0.44,0.56
289,1475,10270,5961,4309,0.58,0.42
290,1501,16075,15317,758,0.953,0.047
291,1503,2866,992,1874,0.346,0.654
292,1504,9026,8380,646,0.928,0.072
293,1505,4355,2417,1938,0.555,0.445
294,1506,3390,1132,2258,0.334,0.666
295,1507,12981,3723,9258,0.287,0.713
296,1510,13606,13601,5,1.0,0.0
297,1515,2183,1252,931,0.574,0.426
298,1516,8500,3463,5037,0.407,0.593
299,1518,2974,1919,1055,0.645,0.355
300,1519,6595,6146,449,0.932,0.068
301,1520,13997,12248,1749,0.875,0.125
302,1521,2481,0,2481,0.0,1.0
