ZCTA5,ZIP,households_by_type-total_households,relationship-population_in_households,marital_status-population_males_15_years_and_over,marital_status-population_females_15_years_and_over,grandparents-population-grandparents_living_with_own_grandchildren_under_18_years,educational_attainment-population-population_25_years_and_over,veteran_status-population-civilian_population_18_years_and_over,residence_1_year_ago-population-population_1_year_and_over,place_of_birth-population-total_population,ancestry-population-total_population,computers_and_internet_use-households-total_households
,,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
601,601,5959,17729,6988,7484,216,11887,13670,17749,17800,17800,0
602,602,12785,39626,16159,17001,1277,27546,31452,39224,39716,39716,0
603,603,18828,49609,20546,22150,1370,35589,40498,51258,51565,51565,0
606,606,1975,6302,2581,2723,181,4381,5038,6320,6320,6320,0
610,610,9210,27859,11080,12164,1071,19237,22034,27692,27976,27976,0
612,612,22931,63234,24295,28415,1556,43466,50003,63278,63884,63884,0
616,616,3499,10267,4217,4735,435,7711,8617,10168,10321,10321,0
617,617,8334,24612,9363,10682,1121,16605,18986,24449,24648,24648,0
622,622,2503,7336,2835,3353,264,5251,5887,7344,7385,7385,0
623,623,14627,42626,16743,18792,1280,29783,33741,42441,42711,42711,0
624,624,7922,23845,9181,9887,1199,15552,18038,23597,23945,23945,0
627,627,11816,33372,13205,14535,821,22880,26285,33196,33481,33481,0
631,631,648,1689,724,727,48,1284,1398,1689,1689,1689,0
637,637,7413,23844,9182,10584,683,16405,18722,23779,24013,24013,0
638,638,6000,17778,6940,7488,577,11951,13727,17619,17795,17795,0
641,641,9440,28823,11466,12422,880,19784,22671,28689,28925,28925,0
646,646,12079,38242,14533,16188,1542,25525,28938,37978,38292,38292,0
647,647,1818,5696,2327,2563,220,4181,4722,5691,5711,5711,0
650,650,4994,14560,5756,6119,293,9598,11183,14326,14569,14569,0
652,652,1367,3774,1489,1660,95,2570,2899,3868,3893,3893,0
653,653,3717,12056,4589,5119,538,7960,9148,11934,12125,12125,0
656,656,6651,19934,7716,8523,655,13475,15370,19791,19996,19996,0
659,659,14339,41222,16234,17984,1090,28567,32491,40981,41327,41327,0
660,660,6233,16494,6427,7699,439,12081,13456,16623,16678,16678,0
662,662,14321,41675,16643,18098,1274,29022,32999,41601,41986,41986,0
664,664,4749,15467,6228,6371,479,10141,11871,15533,15693,15693,0
667,667,8457,24435,9883,10677,800,17237,19576,24253,24492,24492,0
669,669,9771,26789,10945,11454,539,18538,21275,26831,27063,27063,0
670,670,3109,8995,3655,3781,307,6161,7093,8930,9087,9087,0
674,674,15958,41336,15842,18278,1322,28206,32285,41110,41545,41545,0
676,676,12550,38209,15141,16154,626,25728,29521,38145,38488,38488,0
677,677,5236,14730,5912,6487,237,10644,11820,14704,14755,14755,0
678,678,9360,26461,10417,11433,655,18104,20742,26209,26490,26490,0
680,680,18926,49657,20161,22865,916,34086,41505,50279,50628,50628,0
682,682,11733,32137,13088,14295,771,20246,25746,32156,32433,32433,0
683,683,11752,31451,12873,13951,631,22056,25530,31742,32058,32058,0
685,685,14046,39927,16060,17115,824,27904,31444,39948,40102,40102,0
687,687,9827,32023,12736,13129,770,20840,24328,31584,32087,32087,0
688,688,4256,11925,5893,5139,270,9215,10504,12752,12797,12797,0
690,690,2171,5321,2019,2373,33,3668,4110,5288,5328,5328,0
692,692,11904,35829,13710,15794,1477,24200,27927,36446,36700,36700,0
693,693,17873,57086,22406,24794,2024,39214,44739,56890,57428,57428,0
694,694,39,66,41,25,0,66,66,66,66,66,0
698,698,10643,38191,15042,16816,1102,26729,30233,37836,38502,38502,0
703,703,8790,27621,10965,11846,660,18977,21612,27574,27797,27797,0
704,704,2938,8306,3054,3336,198,5216,6147,8294,8390,8390,0
705,705,8526,24363,9565,10539,757,16680,19072,24070,24387,24387,0
707,707,4035,11498,4647,4852,457,7933,9059,11318,11506,11506,0
714,714,6168,18623,6843,8168,636,12362,14197,18519,18640,18640,0
715,715,1268,3643,1526,1429,129,2525,2805,3678,3692,3692,0
716,716,11483,28990,11107,12882,592,20498,22882,29114,29351,29351,0
717,717,6943,17580,6233,8396,396,11312,13817,17754,17958,17958,0
718,718,8513,26414,9837,11269,466,17287,19955,26204,26460,26460,0
719,719,8820,30004,12051,12608,1178,20211,23363,29842,30094,30094,0
720,720,6735,21999,8860,9078,543,14311,16836,21900,22148,22148,0
723,723,6458,18135,7294,7748,401,12505,14314,17929,18135,18135,0
725,725,31237,82609,30996,37901,2631,57263,65417,82769,83479,83479,0
727,727,20567,56783,22163,24886,1559,38824,44602,56569,57079,57079,0
728,728,13654,39012,16514,17287,1005,27331,32135,40709,41245,41245,0
729,729,16532,52754,20207,22627,1856,35034,40520,52279,52897,52897,0
730,730,12463,33402,13459,14435,1002,22737,26310,33440,33899,33899,0
731,731,4814,14957,5957,6383,638,10212,11695,14827,14988,14988,0
735,735,4658,12774,4879,5746,378,8835,10078,12672,12798,12798,0
736,736,17705,49711,19975,21593,1221,34475,39485,49434,49841,49841,0
738,738,12099,32142,12303,14251,1357,21855,25199,32126,32409,32409,0
739,739,12279,37381,14604,15987,989,25178,28856,37129,37558,37558,0
740,740,592,1503,485,748,40,944,1123,1464,1503,1503,0
741,741,1554,5022,1893,2404,336,3629,4034,4979,5042,5042,0
745,745,16545,52445,21134,22838,1948,36184,41624,52913,53395,53395,0
751,751,8247,22034,8694,9522,628,14729,16817,22052,22110,22110,0
754,754,13676,39105,15715,16751,1129,26866,30766,38899,39218,39218,0
757,757,7757,22721,8598,9487,365,14604,16963,22484,22732,22732,0
765,765,2585,8801,3599,3641,456,6062,6933,8801,8801,8801,0
766,766,8030,24300,9631,10248,1011,15842,18609,24143,24489,24489,0
767,767,12045,35655,14078,15341,1275,24351,27869,35403,35734,35734,0
769,769,13482,39517,15450,16722,970,26852,30491,39247,39630,39630,0
771,771,12774,38075,14660,16383,1215,25910,29407,37774,38132,38132,0
772,772,6659,21053,7881,9199,957,13754,16113,20843,21096,21096,0
773,773,6691,19114,7370,8450,712,12980,14935,19094,19237,19237,0
775,775,499,1493,627,538,50,1029,1114,1466,1493,1493,0
777,777,12878,40195,15318,17323,1279,26727,30868,40046,40398,40398,0
778,778,15473,46661,17870,20313,1376,31488,36079,46644,46990,46990,0
780,780,4162,11537,4575,5025,354,7791,8894,11497,11597,11597,0
782,782,5813,18529,7522,7647,389,12352,14371,18370,18544,18544,0
783,783,10842,34428,13522,14617,1135,22940,26596,34291,34702,34702,0
784,784,14441,40188,16736,17499,1032,27881,32282,41455,41993,41993,0
786,786,117,287,130,157,0,287,287,287,287,287,0
791,791,17175,49984,19588,22170,1187,34683,39671,49985,50515,50515,0
794,794,9404,29218,11576,12189,1221,18820,22295,29231,29635,29635,0
795,795,15379,45707,17234,19671,1737,30018,34782,45425,45852,45852,0
901,901,2782,5382,3074,2707,60,5125,5673,6486,6541,6541,0
906,906,55,76,53,23,0,61,76,76,76,76,0
907,907,8943,17345,7188,8309,181,13916,15014,17379,17472,17472,0
909,909,2520,5497,2003,2536,114,3883,4361,5479,5563,5563,0
911,911,3868,7128,3011,3454,65,5767,6320,7166,7227,7227,0
912,912,2438,5411,2313,2893,130,4248,4959,5716,5758,5758,0
913,913,3420,8333,2207,3812,142,4378,5428,8129,8333,8333,0
915,915,11411,27996,10967,12351,698,19045,22121,27976,28173,28173,0
917,917,8193,18679,7511,9066,342,13965,15918,18903,19005,19005,0
918,918,8030,16395,5969,7485,183,11718,13029,16193,16400,16400,0
920,920,7131,17546,6625,8334,485,12880,14503,17423,17576,17576,0
921,921,13945,35529,13098,16619,865,24640,28321,35677,36104,36104,0
923,923,10379,25393,9272,11920,929,17598,20202,25538,25745,25745,0
924,924,20004,53054,18430,24928,1671,35027,40517,53576,54062,54062,0
925,925,3135,5784,3363,3134,79,4151,6374,6895,6924,6924,0
926,926,37771,100194,38530,46399,2360,71549,80520,100271,101337,101337,0
927,927,6049,14115,5369,6919,168,10598,11960,14142,14229,14229,0
934,934,47,67,20,27,0,47,35,67,67,67,0
936,936,0,0,453,440,0,863,893,893,893,893,0
949,949,26248,77161,29298,34465,3067,52803,60418,76790,77458,77458,0
950,950,0,0,0,0,0,0,0,0,0,0,0
951,951,8,8,8,0,0,8,8,8,8,8,0
952,952,3073,9040,3581,3830,242,6175,7056,8989,9078,9078,0
953,953,21935,72390,27988,30736,2241,47503,55206,71925,72712,72712,0
956,956,26169,70482,27272,31566,2034,49274,56227,71000,71602,71602,0
957,957,15220,41909,15253,19342,1379,28430,32610,41714,42155,42155,0
959,959,18795,47921,18104,22825,1216,33936,38850,47881,48349,48349,0
960,960,0,0,2410,19,0,1850,2367,2429,2429,2429,0
961,961,11402,28601,12956,13681,896,22508,25419,30507,30655,30655,0
962,962,7182,20502,7646,8823,762,13351,15548,20336,20509,20509,0
965,965,2821,7453,2857,3431,274,5204,6007,7437,7543,7543,0
966,966,6367,15725,6425,7337,263,11841,13116,15874,15981,15981,0
968,968,1854,3293,1194,1801,20,2889,2975,3272,3293,3293,0
969,969,15818,43078,16796,19863,728,31087,35169,43025,43372,43372,0
971,971,10160,28379,12161,12232,903,20389,23247,28343,28550,28550,0
976,976,21694,60352,22847,27186,2112,41702,47454,60556,61084,61084,0
979,979,7732,14977,6465,7097,323,12214,13249,14932,15019,15019,0
982,982,5893,14847,5621,7018,406,10693,12046,14797,14874,14874,0
983,983,14554,38482,13691,18538,1074,25986,30510,38232,38533,38533,0
985,985,12754,33129,12619,15177,1058,23264,26282,33087,33320,33320,0
987,987,21578,58388,22190,25671,1607,39497,45401,58061,58705,58705,0
1001,1001,7190,16847,6544,8206,420,13010,14161,17330,17423,17423,0
1002,1002,9561,24713,13077,13969,165,13301,26282,29786,29970,29970,0
1003,1003,26,59,5694,5602,0,121,11227,11296,11296,11296,0
1005,1005,1840,5042,2250,2138,89,3573,4082,5201,5228,5228,0
1007,1007,5611,14883,5772,6273,128,9985,11278,14790,14888,14888,0
1008,1008,530,1194,558,517,7,928,1013,1189,1194,1194,0
1009,1009,106,237,105,109,0,203,203,237,237,237,0
